time,road_id,traffic_flow,prompt,target
"DatetimeIndex(['2024-01-01 00:00:00', '2024-01-01 01:00:00',
               '2024-01-01 02:00:00', '2024-01-01 03:00:00',
               '2024-01-01 04:00:00', '2024-01-01 05:00:00',
               '2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00'],
              dtype='datetime64[ns]', freq='h')",A1,"[53.99821264643619, 49.106120951663485, 60.21014267513806, 77.80404373478319, 69.80001000150955, 74.55785456838252, 60.25100423055982, 64.27596151052364, 68.58840212092278, 73.28983875466633, 51.635692560277604, 50.543277474543714, 44.29480106777313, 37.40298484011829, 34.174428335047146, 28.983543272064512, 35.52632686231645, 29.09873788991986, 36.58515718063682, 24.746764001330934, 35.5733786778474, 41.52884372851779, 42.80640004282479, 55.47682992282902]","已知过去24小时交通流量为：[53.99821264643619, 49.106120951663485, 60.21014267513806, 77.80404373478319, 69.80001000150955, 74.55785456838252, 60.25100423055982, 64.27596151052364, 68.58840212092278, 73.28983875466633, 51.635692560277604, 50.543277474543714, 44.29480106777313, 37.40298484011829, 34.174428335047146, 28.983543272064512, 35.52632686231645, 29.09873788991986, 36.58515718063682, 24.746764001330934, 35.5733786778474, 41.52884372851779, 42.80640004282479, 55.47682992282902]，预测未来6小时流量为：","44, 76, 59, 50, 26, 54"
"DatetimeIndex(['2024-01-01 01:00:00', '2024-01-01 02:00:00',
               '2024-01-01 03:00:00', '2024-01-01 04:00:00',
               '2024-01-01 05:00:00', '2024-01-01 06:00:00',
               '2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[92.25067374174081, 89.85032085108197, 111.1410242734114, 111.551270748055, 107.3519554750779, 114.12678739391873, 122.08343170024784, 117.18489096952165, 104.58642819984225, 99.9302934421961, 106.40455681179068, 97.57522360449077, 96.35036987837853, 85.00062817381105, 79.20480503338575, 77.30673756552616, 72.97460745041944, 73.51925538210267, 77.79244723159577, 72.4495940949458, 78.1784565863334, 74.81399211521178, 87.74240686303051, 104.3463193904998]","已知过去24小时交通流量为：[92.25067374174081, 89.85032085108197, 111.1410242734114, 111.551270748055, 107.3519554750779, 114.12678739391873, 122.08343170024784, 117.18489096952165, 104.58642819984225, 99.9302934421961, 106.40455681179068, 97.57522360449077, 96.35036987837853, 85.00062817381105, 79.20480503338575, 77.30673756552616, 72.97460745041944, 73.51925538210267, 77.79244723159577, 72.4495940949458, 78.1784565863334, 74.81399211521178, 87.74240686303051, 104.3463193904998]，预测未来6小时流量为：","103, 110, 104, 92, 79, 91"
"DatetimeIndex(['2024-01-01 02:00:00', '2024-01-01 03:00:00',
               '2024-01-01 04:00:00', '2024-01-01 05:00:00',
               '2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00'],
              dtype='datetime64[ns]', freq='h')",A1,"[174.08705664572705, 170.29885252612937, 183.03293549816746, 194.82265794168677, 184.33381241347772, 190.5863928287046, 190.8702686908859, 185.35750345455145, 189.49249999059498, 184.33259913837682, 179.02692752086688, 179.62902233372847, 171.52457858969575, 160.1211704953619, 164.82878543672163, 157.1623364062899, 155.54965402528347, 150.40029123642117, 155.36358984735855, 149.47714711748074, 150.22088287699762, 167.58351383661264, 165.50055544167884, 173.54213312925827]","已知过去24小时交通流量为：[174.08705664572705, 170.29885252612937, 183.03293549816746, 194.82265794168677, 184.33381241347772, 190.5863928287046, 190.8702686908859, 185.35750345455145, 189.49249999059498, 184.33259913837682, 179.02692752086688, 179.62902233372847, 171.52457858969575, 160.1211704953619, 164.82878543672163, 157.1623364062899, 155.54965402528347, 150.40029123642117, 155.36358984735855, 149.47714711748074, 150.22088287699762, 167.58351383661264, 165.50055544167884, 173.54213312925827]，预测未来6小时流量为：","169, 195, 189, 158, 150, 167"
"DatetimeIndex(['2024-01-01 03:00:00', '2024-01-01 04:00:00',
               '2024-01-01 05:00:00', '2024-01-01 06:00:00',
               '2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[186.67361618392056, 196.10258792803995, 202.979037531248, 192.30844054641838, 198.77142642545516, 206.00690355191057, 211.03595750474733, 209.06053175632502, 201.12663747158112, 199.12466211424967, 210.04874916800193, 188.16443352547688, 184.6670202861365, 178.27697817482553, 163.48483821300806, 174.89908034041545, 162.37233190544788, 151.57487495253784, 176.12360770543438, 176.22860915745392, 178.7794699409537, 174.1642273921744, 181.15267965261114, 180.87783217020618]","已知过去24小时交通流量为：[186.67361618392056, 196.10258792803995, 202.979037531248, 192.30844054641838, 198.77142642545516, 206.00690355191057, 211.03595750474733, 209.06053175632502, 201.12663747158112, 199.12466211424967, 210.04874916800193, 188.16443352547688, 184.6670202861365, 178.27697817482553, 163.48483821300806, 174.89908034041545, 162.37233190544788, 151.57487495253784, 176.12360770543438, 176.22860915745392, 178.7794699409537, 174.1642273921744, 181.15267965261114, 180.87783217020618]，预测未来6小时流量为：","190, 216, 205, 173, 168, 189"
"DatetimeIndex(['2024-01-01 04:00:00', '2024-01-01 05:00:00',
               '2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00',
               '2024-01-02 02:00:00', '2024-01-02 03:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[148.9212746252225, 157.69975130132732, 165.19750826813922, 172.41269852872338, 163.1204409303096, 171.13578849857882, 165.0216289487215, 174.6420172604869, 157.97336453401448, 167.9394530840788, 153.68764468461399, 148.6128318305323, 153.85630648490783, 146.64656198120935, 143.60555478724336, 137.518538606979, 138.54686982108015, 135.54174361738492, 129.06560958461714, 138.29127096773337, 141.66850136320278, 135.6703885213894, 145.57476981998346, 149.84627025890998]","已知过去24小时交通流量为：[148.9212746252225, 157.69975130132732, 165.19750826813922, 172.41269852872338, 163.1204409303096, 171.13578849857882, 165.0216289487215, 174.6420172604869, 157.97336453401448, 167.9394530840788, 153.68764468461399, 148.6128318305323, 153.85630648490783, 146.64656198120935, 143.60555478724336, 137.518538606979, 138.54686982108015, 135.54174361738492, 129.06560958461714, 138.29127096773337, 141.66850136320278, 135.6703885213894, 145.57476981998346, 149.84627025890998]，预测未来6小时流量为：","144, 175, 167, 141, 133, 148"
"DatetimeIndex(['2024-01-01 05:00:00', '2024-01-01 06:00:00',
               '2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00',
               '2024-01-02 03:00:00', '2024-01-02 04:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[114.62011228413888, 115.34897231947902, 131.92050948095815, 134.076905337155, 136.67590469366516, 145.68503536154506, 138.1544164556033, 138.56123558449508, 135.77244946344166, 136.16748456671007, 133.77956447629217, 123.28916651756634, 114.54100020531214, 109.85754282585671, 105.49615585019129, 108.92740485360349, 101.86969945699929, 87.10216620122313, 100.82266558454539, 107.32094947232972, 112.80578685816533, 101.67351154441664, 109.68351763462063, 123.72542856129918]","已知过去24小时交通流量为：[114.62011228413888, 115.34897231947902, 131.92050948095815, 134.076905337155, 136.67590469366516, 145.68503536154506, 138.1544164556033, 138.56123558449508, 135.77244946344166, 136.16748456671007, 133.77956447629217, 123.28916651756634, 114.54100020531214, 109.85754282585671, 105.49615585019129, 108.92740485360349, 101.86969945699929, 87.10216620122313, 100.82266558454539, 107.32094947232972, 112.80578685816533, 101.67351154441664, 109.68351763462063, 123.72542856129918]，预测未来6小时流量为：","109, 140, 126, 113, 92, 117"
"DatetimeIndex(['2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00',
               '2024-01-02 02:00:00', '2024-01-02 03:00:00',
               '2024-01-02 04:00:00', '2024-01-02 05:00:00'],
              dtype='datetime64[ns]', freq='h')",A1,"[136.62037423686064, 143.98700424958778, 142.4349099580311, 152.25562620889252, 154.36181760228618, 160.85710737006582, 157.5465439953265, 157.77581814263087, 159.9485443037252, 142.1389744802986, 134.49079726896744, 142.89292743998914, 140.2547237588736, 127.0892949538426, 111.81646425199816, 120.86160624153418, 115.59805820849822, 123.04634115172051, 118.3385738579781, 114.79326652098891, 121.7178216170112, 130.0698060825915, 129.48847335064514, 142.12072606492578]","已知过去24小时交通流量为：[136.62037423686064, 143.98700424958778, 142.4349099580311, 152.25562620889252, 154.36181760228618, 160.85710737006582, 157.5465439953265, 157.77581814263087, 159.9485443037252, 142.1389744802986, 134.49079726896744, 142.89292743998914, 140.2547237588736, 127.0892949538426, 111.81646425199816, 120.86160624153418, 115.59805820849822, 123.04634115172051, 118.3385738579781, 114.79326652098891, 121.7178216170112, 130.0698060825915, 129.48847335064514, 142.12072606492578]，预测未来6小时流量为：","140, 151, 164, 126, 123, 136"
"DatetimeIndex(['2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00',
               '2024-01-02 03:00:00', '2024-01-02 04:00:00',
               '2024-01-02 05:00:00', '2024-01-02 06:00:00'],
              dtype='datetime64[ns]', freq='h')",A1,"[95.151636259017, 109.21183270390294, 122.23644918959837, 116.34302917375771, 119.93154234218255, 119.41264593254799, 114.49031226433627, 124.92986109705768, 108.93046092809334, 115.13951351570367, 116.8282513838076, 113.76445799079855, 97.81649236883557, 90.81227507697405, 98.31687308150522, 83.20725963756301, 86.8187640948752, 80.40488901347621, 87.68202517242307, 77.08581267585575, 89.46037853087611, 98.52982165353211, 98.44323565843153, 104.49817209613794]","已知过去24小时交通流量为：[95.151636259017, 109.21183270390294, 122.23644918959837, 116.34302917375771, 119.93154234218255, 119.41264593254799, 114.49031226433627, 124.92986109705768, 108.93046092809334, 115.13951351570367, 116.8282513838076, 113.76445799079855, 97.81649236883557, 90.81227507697405, 98.31687308150522, 83.20725963756301, 86.8187640948752, 80.40488901347621, 87.68202517242307, 77.08581267585575, 89.46037853087611, 98.52982165353211, 98.44323565843153, 104.49817209613794]，预测未来6小时流量为：","95, 119, 113, 92, 91, 115"
"DatetimeIndex(['2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00',
               '2024-01-02 02:00:00', '2024-01-02 03:00:00',
               '2024-01-02 04:00:00', '2024-01-02 05:00:00',
               '2024-01-02 06:00:00', '2024-01-02 07:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[162.5517348889437, 163.29920533174325, 170.16455738433933, 181.76945425289017, 190.27486598626132, 185.47543162242607, 179.6034829097377, 178.79393984023395, 175.49460522420986, 173.93781729354947, 169.56762623283223, 162.89969243317708, 164.286510968804, 159.29269559188606, 146.01361330088068, 149.1192155827927, 140.66207755087245, 147.21474045876724, 145.55091661278342, 144.59749476923412, 145.85858263156777, 151.8665146781047, 153.16543515128683, 165.48056850736052]","已知过去24小时交通流量为：[162.5517348889437, 163.29920533174325, 170.16455738433933, 181.76945425289017, 190.27486598626132, 185.47543162242607, 179.6034829097377, 178.79393984023395, 175.49460522420986, 173.93781729354947, 169.56762623283223, 162.89969243317708, 164.286510968804, 159.29269559188606, 146.01361330088068, 149.1192155827927, 140.66207755087245, 147.21474045876724, 145.55091661278342, 144.59749476923412, 145.85858263156777, 151.8665146781047, 153.16543515128683, 165.48056850736052]，预测未来6小时流量为：","173, 181, 174, 156, 148, 164"
"DatetimeIndex(['2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00',
               '2024-01-02 03:00:00', '2024-01-02 04:00:00',
               '2024-01-02 05:00:00', '2024-01-02 06:00:00',
               '2024-01-02 07:00:00', '2024-01-02 08:00:00'],
              dtype='datetime64[ns]', freq='h')",A1,"[55.41795817895878, 58.24503802283222, 49.72862245994369, 66.82986630755758, 68.19279366912014, 68.83466083566721, 69.57366723334944, 69.67577116644185, 66.98751942016428, 67.50833377240744, 57.52526559934207, 59.50705991086937, 50.5102552828027, 38.55900407049036, 42.85653105726248, 32.35615299513738, 38.77132838266999, 27.497223738775578, 32.96441707204785, 31.833667496699157, 42.70327062392521, 40.48294048230379, 43.34754195067097, 51.41051839182829]","已知过去24小时交通流量为：[55.41795817895878, 58.24503802283222, 49.72862245994369, 66.82986630755758, 68.19279366912014, 68.83466083566721, 69.57366723334944, 69.67577116644185, 66.98751942016428, 67.50833377240744, 57.52526559934207, 59.50705991086937, 50.5102552828027, 38.55900407049036, 42.85653105726248, 32.35615299513738, 38.77132838266999, 27.497223738775578, 32.96441707204785, 31.833667496699157, 42.70327062392521, 40.48294048230379, 43.34754195067097, 51.41051839182829]，预测未来6小时流量为：","70, 63, 66, 37, 29, 51"
