time,road_id,traffic_flow,prompt,target
"DatetimeIndex(['2024-01-01 00:00:00', '2024-01-01 01:00:00',
               '2024-01-01 02:00:00', '2024-01-01 03:00:00',
               '2024-01-01 04:00:00', '2024-01-01 05:00:00',
               '2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00'],
              dtype='datetime64[ns]', freq='h')",B2,"[160.67541144785025, 167.88947639285408, 164.50765844775873, 176.78254494347718, 175.6684170597754, 179.19762980249996, 189.03431528947863, 172.2356080418531, 163.53335466234927, 171.249114593143, 161.24944928871153, 157.27104910320284, 160.48334688588898, 140.02170508113454, 145.7827311220561, 139.35221113365867, 133.91903786460827, 137.3255926602515, 145.48928310578617, 146.07677550953127, 143.6809249534313, 148.76750213236653, 141.10385010478058, 153.08714782265264]","已知过去24小时交通流量为：[160.67541144785025, 167.88947639285408, 164.50765844775873, 176.78254494347718, 175.6684170597754, 179.19762980249996, 189.03431528947863, 172.2356080418531, 163.53335466234927, 171.249114593143, 161.24944928871153, 157.27104910320284, 160.48334688588898, 140.02170508113454, 145.7827311220561, 139.35221113365867, 133.91903786460827, 137.3255926602515, 145.48928310578617, 146.07677550953127, 143.6809249534313, 148.76750213236653, 141.10385010478058, 153.08714782265264]，预测未来6小时流量为：","156, 170, 166, 143, 141, 153"
"DatetimeIndex(['2024-01-01 01:00:00', '2024-01-01 02:00:00',
               '2024-01-01 03:00:00', '2024-01-01 04:00:00',
               '2024-01-01 05:00:00', '2024-01-01 06:00:00',
               '2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00'],
              dtype='datetime64[ns]', freq='h')",B2,"[138.53983141167535, 147.30156187155765, 144.3985516381951, 152.52460024011705, 155.5658875296629, 161.11417088113288, 160.34004605311645, 167.77633894868293, 152.27845784226002, 161.28015993868843, 150.13082249017936, 146.16976517221326, 133.3866097761711, 128.2112906446591, 130.82623810151907, 126.50629428284147, 128.41389726548513, 117.39982810851669, 125.89151603709276, 128.79233123724129, 139.8586422446944, 128.52429934137427, 132.45126216980012, 141.63554007787232]","已知过去24小时交通流量为：[138.53983141167535, 147.30156187155765, 144.3985516381951, 152.52460024011705, 155.5658875296629, 161.11417088113288, 160.34004605311645, 167.77633894868293, 152.27845784226002, 161.28015993868843, 150.13082249017936, 146.16976517221326, 133.3866097761711, 128.2112906446591, 130.82623810151907, 126.50629428284147, 128.41389726548513, 117.39982810851669, 125.89151603709276, 128.79233123724129, 139.8586422446944, 128.52429934137427, 132.45126216980012, 141.63554007787232]，预测未来6小时流量为：","140, 166, 162, 130, 120, 143"
"DatetimeIndex(['2024-01-01 02:00:00', '2024-01-01 03:00:00',
               '2024-01-01 04:00:00', '2024-01-01 05:00:00',
               '2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00'],
              dtype='datetime64[ns]', freq='h')",B2,"[136.59196533227035, 154.5413373383908, 159.09471699770828, 166.7048413266034, 167.05144475608205, 167.39834560780125, 164.45677530484622, 166.72588874510436, 167.371689044692, 159.27567064786246, 161.17833115535112, 141.7376077856545, 149.76321066552904, 136.9918137066968, 141.1143533039754, 131.46255781767977, 140.98963732116576, 130.06145783597003, 130.58704802250637, 129.2442245982971, 126.50875960184291, 146.661283091348, 145.81344111115706, 155.94297961360027]","已知过去24小时交通流量为：[136.59196533227035, 154.5413373383908, 159.09471699770828, 166.7048413266034, 167.05144475608205, 167.39834560780125, 164.45677530484622, 166.72588874510436, 167.371689044692, 159.27567064786246, 161.17833115535112, 141.7376077856545, 149.76321066552904, 136.9918137066968, 141.1143533039754, 131.46255781767977, 140.98963732116576, 130.06145783597003, 130.58704802250637, 129.2442245982971, 126.50875960184291, 146.661283091348, 145.81344111115706, 155.94297961360027]，预测未来6小时流量为：","149, 163, 163, 134, 127, 143"
"DatetimeIndex(['2024-01-01 03:00:00', '2024-01-01 04:00:00',
               '2024-01-01 05:00:00', '2024-01-01 06:00:00',
               '2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[124.04130292820604, 123.06037941436836, 138.04709377408213, 132.75136226392326, 136.33986526273253, 143.60778147101263, 137.01211994542825, 141.33274237191864, 134.510458666024, 130.9292037716697, 128.19510366491963, 127.4930955303823, 114.32904977990867, 116.08910669658619, 100.89873044470487, 105.99695619784389, 104.39995134497885, 95.54249100029953, 104.94283040477181, 108.7486089807808, 103.928986569211, 106.11778767745997, 113.96095197495917, 121.5718867528907]","已知过去24小时交通流量为：[124.04130292820604, 123.06037941436836, 138.04709377408213, 132.75136226392326, 136.33986526273253, 143.60778147101263, 137.01211994542825, 141.33274237191864, 134.510458666024, 130.9292037716697, 128.19510366491963, 127.4930955303823, 114.32904977990867, 116.08910669658619, 100.89873044470487, 105.99695619784389, 104.39995134497885, 95.54249100029953, 104.94283040477181, 108.7486089807808, 103.928986569211, 106.11778767745997, 113.96095197495917, 121.5718867528907]，预测未来6小时流量为：","121, 136, 131, 102, 106, 125"
"DatetimeIndex(['2024-01-01 04:00:00', '2024-01-01 05:00:00',
               '2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00',
               '2024-01-02 02:00:00', '2024-01-02 03:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[181.84615324593437, 184.21200351099057, 194.62490509566916, 195.35055393615326, 197.63462301875413, 199.32889754043998, 197.1864082491296, 195.49783014567117, 191.398558825852, 192.56448590764305, 192.00869281601152, 186.6885603378492, 178.5836105535148, 175.72285824057317, 165.3198389020212, 161.52223378347267, 160.65845785105546, 167.0064314567157, 164.63838493452886, 176.15785566445297, 169.53789344749762, 165.70972159251627, 172.0101259366494, 170.97776010759034]","已知过去24小时交通流量为：[181.84615324593437, 184.21200351099057, 194.62490509566916, 195.35055393615326, 197.63462301875413, 199.32889754043998, 197.1864082491296, 195.49783014567117, 191.398558825852, 192.56448590764305, 192.00869281601152, 186.6885603378492, 178.5836105535148, 175.72285824057317, 165.3198389020212, 161.52223378347267, 160.65845785105546, 167.0064314567157, 164.63838493452886, 176.15785566445297, 169.53789344749762, 165.70972159251627, 172.0101259366494, 170.97776010759034]，预测未来6小时流量为：","185, 203, 191, 168, 168, 188"
"DatetimeIndex(['2024-01-01 05:00:00', '2024-01-01 06:00:00',
               '2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00',
               '2024-01-02 03:00:00', '2024-01-02 04:00:00'],
              dtype='datetime64[ns]', freq='h')",B2,"[156.99969208085585, 164.2353981773993, 161.44550511010493, 180.14905243286466, 181.62049718298076, 175.94091992514493, 178.63163896634654, 169.6585517141701, 170.9808521167812, 161.66848517872188, 168.54852226119405, 154.98684602232728, 156.9905227089331, 146.43541561634638, 141.6624980892166, 140.75035387562332, 132.7023358926156, 137.0615369120507, 134.69534670536035, 138.68806399894248, 139.90713022650183, 140.99346357992525, 153.29506910886386, 156.57873969167974]","已知过去24小时交通流量为：[156.99969208085585, 164.2353981773993, 161.44550511010493, 180.14905243286466, 181.62049718298076, 175.94091992514493, 178.63163896634654, 169.6585517141701, 170.9808521167812, 161.66848517872188, 168.54852226119405, 154.98684602232728, 156.9905227089331, 146.43541561634638, 141.6624980892166, 140.75035387562332, 132.7023358926156, 137.0615369120507, 134.69534670536035, 138.68806399894248, 139.90713022650183, 140.99346357992525, 153.29506910886386, 156.57873969167974]，预测未来6小时流量为：","170, 179, 169, 144, 132, 151"
"DatetimeIndex(['2024-01-01 06:00:00', '2024-01-01 07:00:00',
               '2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00',
               '2024-01-02 02:00:00', '2024-01-02 03:00:00',
               '2024-01-02 04:00:00', '2024-01-02 05:00:00'],
              dtype='datetime64[ns]', freq='h')",B2,"[102.92537598918155, 117.33926145380161, 122.13464194695085, 120.2656678258584, 126.85544509449203, 123.4024836022812, 115.84918347329321, 132.15090598961444, 121.43288518215111, 115.5078005133851, 104.33267385967473, 108.27292787960332, 99.02680188960893, 97.04012467624321, 89.82744785466826, 91.85707962475377, 83.26283957400022, 88.18476365220852, 80.10463005255576, 94.31048908255283, 92.46454599932962, 97.26702562193697, 96.92816894190237, 107.3782167762918]","已知过去24小时交通流量为：[102.92537598918155, 117.33926145380161, 122.13464194695085, 120.2656678258584, 126.85544509449203, 123.4024836022812, 115.84918347329321, 132.15090598961444, 121.43288518215111, 115.5078005133851, 104.33267385967473, 108.27292787960332, 99.02680188960893, 97.04012467624321, 89.82744785466826, 91.85707962475377, 83.26283957400022, 88.18476365220852, 80.10463005255576, 94.31048908255283, 92.46454599932962, 97.26702562193697, 96.92816894190237, 107.3782167762918]，预测未来6小时流量为：","112, 133, 106, 92, 90, 115"
"DatetimeIndex(['2024-01-01 07:00:00', '2024-01-01 08:00:00',
               '2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00',
               '2024-01-02 03:00:00', '2024-01-02 04:00:00',
               '2024-01-02 05:00:00', '2024-01-02 06:00:00'],
              dtype='datetime64[ns]', freq='h')",A1,"[129.67010132282428, 133.78506276633206, 149.24716002716784, 149.8385113954766, 143.3454937861579, 156.82893219382115, 152.85802957479763, 148.50163362392755, 149.35694038918666, 137.30425287164948, 142.74654379651673, 142.8459794277523, 126.51054083993407, 115.54749156876716, 122.66208904704355, 109.40283015452982, 97.13741480810438, 108.04500167677962, 103.62542340381052, 117.8049477448695, 125.7549115076553, 123.956692319248, 124.09911419631938, 133.11707111823227]","已知过去24小时交通流量为：[129.67010132282428, 133.78506276633206, 149.24716002716784, 149.8385113954766, 143.3454937861579, 156.82893219382115, 152.85802957479763, 148.50163362392755, 149.35694038918666, 137.30425287164948, 142.74654379651673, 142.8459794277523, 126.51054083993407, 115.54749156876716, 122.66208904704355, 109.40283015452982, 97.13741480810438, 108.04500167677962, 103.62542340381052, 117.8049477448695, 125.7549115076553, 123.956692319248, 124.09911419631938, 133.11707111823227]，预测未来6小时流量为：","125, 151, 142, 132, 110, 127"
"DatetimeIndex(['2024-01-01 08:00:00', '2024-01-01 09:00:00',
               '2024-01-01 10:00:00', '2024-01-01 11:00:00',
               '2024-01-01 12:00:00', '2024-01-01 13:00:00',
               '2024-01-01 14:00:00', '2024-01-01 15:00:00',
               '2024-01-01 16:00:00', '2024-01-01 17:00:00',
               '2024-01-01 18:00:00', '2024-01-01 19:00:00',
               '2024-01-01 20:00:00', '2024-01-01 21:00:00',
               '2024-01-01 22:00:00', '2024-01-01 23:00:00',
               '2024-01-02 00:00:00', '2024-01-02 01:00:00',
               '2024-01-02 02:00:00', '2024-01-02 03:00:00',
               '2024-01-02 04:00:00', '2024-01-02 05:00:00',
               '2024-01-02 06:00:00', '2024-01-02 07:00:00'],
              dtype='datetime64[ns]', freq='h')",C3,"[63.47469032113845, 60.72968999284027, 73.44559533736576, 74.04910515695028, 69.56271518320614, 78.4563881203503, 82.36337067213407, 74.65189959332783, 76.1961764527191, 65.54936263774404, 64.33115407728668, 61.00735589239289, 61.78017513431327, 46.8544216467226, 31.378397742374794, 39.91084110757578, 42.34281653279784, 38.89791136786848, 41.26618163737138, 35.3452002461818, 49.78139379486516, 47.63958446711475, 57.234148313581166, 56.20734500750557]","已知过去24小时交通流量为：[63.47469032113845, 60.72968999284027, 73.44559533736576, 74.04910515695028, 69.56271518320614, 78.4563881203503, 82.36337067213407, 74.65189959332783, 76.1961764527191, 65.54936263774404, 64.33115407728668, 61.00735589239289, 61.78017513431327, 46.8544216467226, 31.378397742374794, 39.91084110757578, 42.34281653279784, 38.89791136786848, 41.26618163737138, 35.3452002461818, 49.78139379486516, 47.63958446711475, 57.234148313581166, 56.20734500750557]，预测未来6小时流量为：","60, 81, 64, 42, 49, 52"
"DatetimeIndex(['2024-01-01 09:00:00', '2024-01-01 10:00:00',
               '2024-01-01 11:00:00', '2024-01-01 12:00:00',
               '2024-01-01 13:00:00', '2024-01-01 14:00:00',
               '2024-01-01 15:00:00', '2024-01-01 16:00:00',
               '2024-01-01 17:00:00', '2024-01-01 18:00:00',
               '2024-01-01 19:00:00', '2024-01-01 20:00:00',
               '2024-01-01 21:00:00', '2024-01-01 22:00:00',
               '2024-01-01 23:00:00', '2024-01-02 00:00:00',
               '2024-01-02 01:00:00', '2024-01-02 02:00:00',
               '2024-01-02 03:00:00', '2024-01-02 04:00:00',
               '2024-01-02 05:00:00', '2024-01-02 06:00:00',
               '2024-01-02 07:00:00', '2024-01-02 08:00:00'],
              dtype='datetime64[ns]', freq='h')",B2,"[109.12833281126856, 110.13735828273008, 116.73017896723921, 115.53795640246594, 126.99677484383312, 123.37470103244293, 120.82951767477597, 131.6215360569361, 117.2796001267729, 126.61852925921109, 106.386676422498, 103.3192152312366, 101.9656097264525, 101.29394490258677, 89.39201029449474, 83.46842232418462, 84.9340269012032, 90.38885636866051, 81.34611999353832, 88.63423502907342, 89.08609447628903, 89.10950757910078, 95.52140367137802, 108.68509384459918]","已知过去24小时交通流量为：[109.12833281126856, 110.13735828273008, 116.73017896723921, 115.53795640246594, 126.99677484383312, 123.37470103244293, 120.82951767477597, 131.6215360569361, 117.2796001267729, 126.61852925921109, 106.386676422498, 103.3192152312366, 101.9656097264525, 101.29394490258677, 89.39201029449474, 83.46842232418462, 84.9340269012032, 90.38885636866051, 81.34611999353832, 88.63423502907342, 89.08609447628903, 89.10950757910078, 95.52140367137802, 108.68509384459918]，预测未来6小时流量为：","104, 121, 122, 90, 80, 103"
